Станция,Расстояние (м),Тип транспорта,Время в пути (мин),realty_id
Тёплый Стан,2860.0,На машине,7,50
Тропарёво,2301.0,На машине,7,50
Генерала Тюленева,1484.0,Пешком,17,51
Тропарёво,1601.0,Пешком,19,51
Тёплый Стан,3235.0,На машине,7,51
Генерала Тюленева,1145.0,Пешком,13,52
Тропарёво,1569.0,Пешком,18,52
Тёплый Стан,2719.0,На машине,6,52
Генерала Тюленева,534.0,Пешком,6,53
Тютчевская,1792.0,Пешком,10,53
Тёплый Стан,2085.0,На машине,5,53
Генерала Тюленева,598.0,Пешком,5,54
Тютчевская,1877.0,Пешком,11,54
Тёплый Стан,2194.0,На машине,5,54
Генерала Тюленева,534.0,Пешком,6,55
Тютчевская,1792.0,Пешком,10,55
Тёплый Стан,2085.0,На машине,5,55
Генерала Тюленева,534.0,Пешком,6,56
Тютчевская,1757.0,Пешком,10,56
Тёплый Стан,2311.0,На машине,5,56
Генерала Тюленева,669.0,Пешком,8,57
Тютчевская,1699.0,Пешком,9,57
Тёплый Стан,2408.0,На машине,5,57
Генерала Тюленева,595.0,Пешком,7,58
Тютчевская,1939.0,Пешком,12,58
Тёплый Стан,1573.0,Пешком,18,58
Генерала Тюленева,421.0,Пешком,6,59
Тёплый Стан,1241.0,Пешком,15,59
Тютчевская,2279.0,Пешком,16,59
Генерала Тюленева,299.0,Пешком,5,60
Тёплый Стан,1075.0,Пешком,13,60
Тютчевская,2466.0,Пешком,18,60
Генерала Тюленева,299.0,Пешком,5,61
Тёплый Стан,1075.0,Пешком,13,61
Тютчевская,2466.0,Пешком,18,61
Генерала Тюленева,508.0,Пешком,8,62
Тёплый Стан,1321.0,Пешком,15,62
Тютчевская,2289.0,Пешком,16,62
Генерала Тюленева,608.0,Пешком,9,63
Тютчевская,2222.0,Пешком,14,63
Тёплый Стан,1265.0,Пешком,15,63
Генерала Тюленева,767.0,Пешком,10,64
Тютчевская,2074.0,Пешком,14,64
Тёплый Стан,1245.0,Пешком,15,64
Генерала Тюленева,1081.0,Пешком,12,65
Тютчевская,2057.0,Пешком,13,65
Тёплый Стан,1361.0,Пешком,17,65
Тютчевская,970.0,Пешком,10,66
Саларьево,4077.0,На машине,7,66
Корниловская,2738.0,На машине,7,66
Тютчевская,914.0,Пешком,10,67
Саларьево,4160.0,На машине,7,67
Тёплый Стан,3626.0,На машине,8,67
Тютчевская,1581.0,Пешком,8,68
Генерала Тюленева,1319.0,Пешком,16,68
Саларьево,4583.0,На машине,8,68
Тютчевская,1353.0,Пешком,10,69
Генерала Тюленева,1579.0,Пешком,18,69
Саларьево,4184.0,На машине,7,69
Тютчевская,1552.0,Пешком,12,70
Саларьево,3969.0,На машине,7,70
Корниловская,3558.0,На машине,7,70
Тютчевская,1597.0,Пешком,11,71
Генерала Тюленева,1603.0,Пешком,19,71
Саларьево,4054.0,На машине,7,71
Тютчевская,1597.0,Пешком,11,72
Генерала Тюленева,1603.0,Пешком,19,72
Саларьево,4054.0,На машине,7,72
Университет Дружбы Народов,475.0,Пешком,6,73
Коньково,2167.0,На машине,4,73
Тропарёво,3113.0,На машине,4,73
Университет Дружбы Народов,473.0,Пешком,6,74
Беляево,1124.0,Пешком,13,74
Калужская,2031.0,На машине,4,74
Университет Дружбы Народов,473.0,Пешком,6,75
Беляево,1124.0,Пешком,13,75
Калужская,2031.0,На машине,4,75
Университет Дружбы Народов,984.0,Пешком,11,76
Беляево,1114.0,Пешком,15,76
Коньково,1450.0,Пешком,17,76
Университет Дружбы Народов,1065.0,Пешком,13,77
Беляево,926.0,Пешком,14,77
Коньково,1292.0,Пешком,15,77
Университет Дружбы Народов,1246.0,Пешком,15,78
Коньково,1345.0,Пешком,16,78
Беляево,2077.0,На машине,4,78
Университет Дружбы Народов,1241.0,Пешком,15,79
Коньково,1397.0,Пешком,17,79
Беляево,2357.0,На машине,4,79
Университет Дружбы Народов,1324.0,Пешком,15,80
Калужская,1647.0,Пешком,19,80
Новаторская,1584.0,Пешком,19,80
Университет Дружбы Народов,1624.0,Пешком,19,81
Новаторская,2125.0,На машине,3,81
Юго-Западная,3488.0,На машине,4,81
Новаторская,2559.0,На машине,3,82
Новаторская,2252.0,На машине,3,82
Юго-Западная,3615.0,На машине,4,82
Тютчевская,1352.0,Пешком,15,83
Корниловская,2834.0,На машине,6,83
Саларьево,4136.0,На машине,7,83
Тютчевская,1164.0,Пешком,13,84
Корниловская,2939.0,На машине,6,84
Саларьево,4123.0,На машине,8,84
Тютчевская,1178.0,Пешком,13,85
Корниловская,2938.0,На машине,6,85
Саларьево,3900.0,На машине,7,85
Тютчевская,1894.0,На машине,5,86
Корниловская,1614.0,На машине,7,86
Саларьево,4772.0,На машине,8,86
Тютчевская,1641.0,Пешком,11,87
Саларьево,4311.0,На машине,8,87
Корниловская,3472.0,На машине,8,87
Тютчевская,1660.0,Пешком,12,88
Генерала Тюленева,1658.0,Пешком,19,88
Саларьево,4127.0,На машине,8,88
Тютчевская,1660.0,Пешком,12,89
Генерала Тюленева,1658.0,Пешком,19,89
Саларьево,4127.0,На машине,8,89
Генерала Тюленева,1140.0,Пешком,14,90
Тёплый Стан,1258.0,Пешком,15,90
Тютчевская,2234.0,Пешком,15,90
Тёплый Стан,991.0,Пешком,12,91
Генерала Тюленева,946.0,Пешком,12,91
Тютчевская,2509.0,Пешком,17,91
Тёплый Стан,844.0,Пешком,11,92
Генерала Тюленева,811.0,Пешком,11,92
Тютчевская,2413.0,Пешком,18,92
Генерала Тюленева,188.0,Пешком,3,93
Тютчевская,2258.0,Пешком,15,93
Тёплый Стан,1369.0,Пешком,16,93
Генерала Тюленева,790.0,Пешком,10,94
Тютчевская,1956.0,Пешком,13,94
Тёплый Стан,1298.0,Пешком,16,94
Генерала Тюленева,669.0,Пешком,8,95
Тютчевская,2301.0,Пешком,16,95
Тёплый Стан,2408.0,На машине,6,95
Генерала Тюленева,377.0,Пешком,4,96
Тёплый Стан,1605.0,Пешком,19,96
Коньково,3351.0,На машине,6,96
Генерала Тюленева,717.0,Пешком,8,97
Тёплый Стан,2290.0,На машине,6,97
Коньково,3667.0,На машине,7,97
Генерала Тюленева,1506.0,Пешком,17,98
Тёплый Стан,3401.0,На машине,7,98
Тропарёво,1856.0,На машине,7,98
Университет Дружбы Народов,663.0,Пешком,8,99
Беляево,1050.0,Пешком,13,99
Коньково,1913.0,На машине,3,99
